Sighting Animal,Sighting Evidence,Sighting Evidence Comment,Sighting Quantity,Sighting Presence,Sighting Evidence of Absence,Sighting Provisions Related,Sighting Evidence of Provision,Sighting Native American Presence,Observation Year,Observation Season,Observation Month,Observation Day,Observer Name,Observer ID,Observer Years,Observer Participation,Observer Point of Origin,Observer Notes,Observer Profession,Observer Official Status,Observer Gender,Observation Location,Observation Comments,Trip Participants,Trip Number Participants,Trip Purpose,Trip Comments,Trip Start Year,Trip Start Month,Trip Start Day,Trip End Year,Trip End Month,Trip End Day,Trip Digital Route Available,Source Document,Source Page,Source Author,Source Date of Publication,Source Title,Source Subtitle,Source Publisher,Source Publisher Location,Source Comments
Unknown,described parts,carcass of game,,1,,0,,0,1865,winter,January,5,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,upper Creek (Six mile creek),,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Unknown,described parts,meat,,1,,0,,0,1865,winter,January,6,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,second half of day back to upper Creek (Six mile creek),,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Unknown,assumption,hunt,,1,,0,,0,1865,winter,January,6,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,second half of day back to upper Creek (Six mile creek),,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Unknown,described parts,"grub, may or may not be meat",,1,,1,grub,0,1865,winter,January,6,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,second half of day back to upper Creek (Six mile creek),,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Bighorn Sheep,observed animal,saw plenty,100 to 500,1,,0,,0,1865,winter,January,7,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
"Bear, unspecified",observed animal,old female with cubs,3 to 5,1,,0,,0,1865,winter,January,7,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
"Bear, unspecified",observed animal,two cubs with old female,3 to 5,1,,0,,0,1865,winter,January,7,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Wolf,assumption,baited wolves,Unknown,1,,0,,0,1865,winter,January,7,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Bighorn Sheep,observed animal,plenty,100 to 500,1,,0,,0,1865,winter,January,7,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
,,,,0,killed no bighorn sheep,0,,0,1865,winter,January,7,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
